2025-07-12 20:07:16,333 - INFO - Episode 65 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:07:21,828 - INFO - Episode 66 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:07:27,549 - INFO - Episode 67 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:07:32,961 - INFO - Episode 68 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:07:37,804 - INFO - Episode 69 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:07:42,687 - INFO - Episode 70 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:07:47,620 - INFO - Episode 71 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:07:52,553 - INFO - Episode 72 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:07:57,547 - INFO - Episode 73 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:02,467 - INFO - Episode 74 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:07,378 - INFO - Episode 75 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:12,412 - INFO - Episode 76 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:08:17,335 - INFO - Episode 77 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:22,240 - INFO - Episode 78 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:27,232 - INFO - Episode 79 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:32,139 - INFO - Episode 80 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:37,048 - INFO - Episode 81 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:42,040 - INFO - Episode 82 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:46,939 - INFO - Episode 83 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:08:51,943 - INFO - Episode 84 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:08:56,894 - INFO - Episode 85 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:01,807 - INFO - Episode 86 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:09:06,819 - INFO - Episode 87 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:11,790 - INFO - Episode 88 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:09:16,641 - INFO - Episode 89 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:09:21,578 - INFO - Episode 90 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:09:26,453 - INFO - Episode 91 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:09:31,362 - INFO - Episode 92 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:36,344 - INFO - Episode 93 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:41,257 - INFO - Episode 94 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:46,147 - INFO - Episode 95 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:09:51,078 - INFO - Episode 96 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:09:55,966 - INFO - Episode 97 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:10:00,734 - INFO - Episode 98 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:10:05,254 - INFO - Episode 99 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:10,121 - INFO - Episode 100 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:10:15,078 - INFO - Episode 101 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:10:19,985 - INFO - Episode 102 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:10:24,901 - INFO - Episode 103 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:29,891 - INFO - Episode 104 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:34,751 - INFO - Episode 105 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:10:39,578 - INFO - Episode 106 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:10:44,362 - INFO - Episode 107 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:49,281 - INFO - Episode 108 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:54,120 - INFO - Episode 109 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:10:59,090 - INFO - Episode 110 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:11:04,032 - INFO - Episode 111 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:11:08,965 - INFO - Episode 112 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:11:13,851 - INFO - Episode 113 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:11:18,787 - INFO - Episode 114 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:11:23,731 - INFO - Episode 115 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:11:28,671 - INFO - Episode 116 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:11:33,496 - INFO - Episode 117 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:11:38,448 - INFO - Episode 118 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:11:43,351 - INFO - Episode 119 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:11:48,249 - INFO - Episode 120 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:11:53,259 - INFO - Episode 121 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:11:58,110 - INFO - Episode 122 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:02,995 - INFO - Episode 123 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:12:07,967 - INFO - Episode 124 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:12:12,904 - INFO - Episode 125 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:12:17,821 - INFO - Episode 126 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:22,672 - INFO - Episode 127 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:27,553 - INFO - Episode 128 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:32,535 - INFO - Episode 129 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:12:37,376 - INFO - Episode 130 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:42,208 - INFO - Episode 131 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:46,720 - INFO - Episode 132 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:12:51,622 - INFO - Episode 133 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:12:56,520 - INFO - Episode 134 - Volume: 12000.0 | Demanda: 300000.0
